[INFO] 2025-10-02 09:10:06,511 django.utils.autoreload Watching for file changes with StatReloader
[INFO] 2025-10-02 09:10:27,680 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:28,410 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:28,467 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:28,541 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:28,654 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:28,749 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:29,510 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:29,557 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:29,644 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:30,163 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:30,206 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:30,276 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:30,648 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:30,756 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:30,891 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:30,906 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:31,187 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:31,211 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:31,585 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:32,232 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:32,276 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:33,597 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:34,314 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:35,063 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:35,251 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:35,322 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:36,046 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:36,093 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:36,182 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:36,438 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:36,732 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:37,137 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:37,436 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:37,737 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:38,059 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:38,439 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:39,719 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:40,119 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:40,553 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:42,012 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:42,103 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:42,145 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:42,522 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:42,799 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:42,866 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:42,985 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:43,182 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:43,404 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:43,589 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:43,878 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:43,998 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
